id,source,target,bandwidth,latency
71,6,1252,80.0,0.0188
281,6,1330,50.0,0.03
339,6,1284,100.0,0.015
347,6,237,100.0,0.015
357,6,502,50.0,0.03
375,6,1261,150.0,0.01
397,6,250,150.0,0.01
421,6,1274,100.0,0.015
486,6,1264,150.0,0.01
717,6,645,20.0,0.075
794,6,1309,90.0,0.0167
865,6,1263,80.0,0.0188
906,6,1276,90.0,0.0167
970,6,1266,100.0,0.015
981,6,219,100.0,0.015
1008,6,196,150.0,0.01
1077,6,559,50.0,0.03
1117,6,1210,90.0,0.0167
1214,6,503,100.0,0.015
1259,6,1190,80.0,0.0188
1272,6,1275,90.0,0.0167
1352,6,1265,100.0,0.015
1387,6,604,20.0,0.075
1393,6,1278,90.0,0.0167
1403,6,231,20.0,0.075
1511,6,427,100.0,0.015
1532,6,548,20.0,0.075
1637,6,1189,90.0,0.0167
1743,6,1277,20.0,0.075
1795,6,1267,90.0,0.0167
1823,6,1280,100.0,0.015
1846,6,727,100.0,0.015
1863,6,1257,90.0,0.0167
1910,6,946,80.0,0.0188
1971,6,1345,20.0,0.075
1987,6,563,20.0,0.075
2043,6,1191,100.0,0.015
2132,6,628,20.0,0.075
2171,6,1279,150.0,0.01
2201,6,1256,80.0,0.0188
2245,6,1269,80.0,0.0188
2289,6,199,50.0,0.03
2302,6,729,100.0,0.015
2319,6,1259,50.0,0.03
2343,6,297,150.0,0.01
2379,6,1069,100.0,0.015
2463,6,951,80.0,0.0188
2487,6,1072,150.0,0.01
2521,6,640,90.0,0.0167
2577,6,774,100.0,0.015
2586,6,1268,150.0,0.01
2589,6,1039,50.0,0.03
2594,6,630,80.0,0.0188
2623,6,1281,80.0,0.0188
2656,6,1258,150.0,0.01
2687,6,1006,100.0,0.015
2692,6,1271,80.0,0.0188
2794,6,829,100.0,0.015
2820,6,950,20.0,0.075
2840,6,1071,150.0,0.01
2858,6,1192,90.0,0.0167
2861,6,554,150.0,0.01
2988,6,148,20.0,0.075
2990,6,642,80.0,0.0188
3015,6,1293,90.0,0.0167
3059,6,367,20.0,0.075
3063,6,1270,90.0,0.0167
3092,6,1283,80.0,0.0188
3103,6,465,90.0,0.0167
3138,6,1260,90.0,0.0167
3185,6,1273,90.0,0.0167
3221,6,203,100.0,0.015
3246,6,818,80.0,0.0188
3291,6,952,150.0,0.01
3313,6,435,150.0,0.01
3448,6,1282,90.0,0.0167
3457,6,235,150.0,0.01
3520,6,1272,100.0,0.015
3568,6,1285,80.0,0.0188
3590,6,588,80.0,0.0188
3593,6,1262,20.0,0.075
