id,source,target,bandwidth,latency
0,6,142,280,0.0035714285714285713
1,6,1022,107,0.009345794392523364
2,22,111,597,0.0016750418760469012
3,22,150,192,0.005208333333333333
4,22,167,197,0.005076142131979695
5,22,869,293,0.0034129692832764505
6,22,979,261,0.0038314176245210726
7,26,80,58,0.017241379310344827
8,26,518,451,0.0022172949002217295
9,26,542,378,0.0026455026455026454
10,26,1029,204,0.004901960784313725
11,26,1052,69,0.014492753623188406
12,27,483,294,0.003401360544217687
13,27,953,65,0.015384615384615385
14,27,1068,485,0.002061855670103093
15,27,1182,270,0.003703703703703704
16,31,786,229,0.004366812227074236
17,31,1147,551,0.0018148820326678765
18,31,1206,509,0.0019646365422396855
19,31,1316,321,0.003115264797507788
20,31,1333,273,0.003663003663003663
21,32,44,275,0.0036363636363636364
22,32,345,431,0.002320185614849188
23,32,536,326,0.003067484662576687
24,32,938,166,0.006024096385542169
25,32,1090,55,0.01818181818181818
26,44,143,137,0.0072992700729927005
27,44,345,140,0.007142857142857143
28,44,536,256,0.00390625
29,44,960,465,0.002150537634408602
30,44,1090,355,0.0028169014084507044
31,50,419,168,0.005952380952380952
32,50,593,351,0.002849002849002849
33,50,1326,232,0.004310344827586207
34,50,1337,479,0.0020876826722338203
35,64,622,192,0.005208333333333333
36,64,739,438,0.00228310502283105
37,64,1175,275,0.0036363636363636364
38,80,448,255,0.00392156862745098
39,80,542,294,0.003401360544217687
40,80,1029,462,0.0021645021645021645
41,106,154,560,0.0017857142857142857
42,106,324,457,0.002188183807439825
43,106,869,319,0.003134796238244514
44,106,978,286,0.0034965034965034965
45,106,979,373,0.002680965147453083
46,111,150,148,0.006756756756756757
47,111,167,100,0.01
48,111,869,176,0.005681818181818182
49,111,978,442,0.0022624434389140274
50,111,979,596,0.0016778523489932886
51,141,396,540,0.001851851851851852
52,141,581,552,0.0018115942028985507
53,141,703,75,0.013333333333333334
54,141,745,192,0.005208333333333333
55,141,932,363,0.0027548209366391185
56,141,1246,596,0.0016778523489932886
57,141,1343,444,0.0022522522522522522
58,142,786,367,0.0027247956403269754
59,142,953,339,0.0029498525073746312
60,142,1022,250,0.004
61,143,181,444,0.0022522522522522522
62,143,408,459,0.002178649237472767
63,143,536,550,0.0018181818181818182
64,143,626,215,0.004651162790697674
65,143,1090,257,0.0038910505836575876
66,150,167,543,0.001841620626151013
67,150,172,463,0.0021598272138228943
68,150,282,274,0.0036496350364963502
69,154,324,497,0.002012072434607646
70,154,869,187,0.0053475935828877
71,154,978,137,0.0072992700729927005
72,154,979,471,0.0021231422505307855
73,159,344,365,0.0027397260273972603
74,159,842,290,0.0034482758620689655
75,159,971,485,0.002061855670103093
76,159,1301,214,0.004672897196261682
77,165,288,175,0.005714285714285714
78,165,769,528,0.001893939393939394
79,167,869,281,0.0035587188612099642
80,170,270,65,0.015384615384615385
81,170,1187,409,0.0024449877750611247
82,170,1219,469,0.0021321961620469083
83,172,282,85,0.011764705882352941
84,172,581,246,0.0040650406504065045
85,172,801,177,0.005649717514124294
86,172,855,362,0.0027624309392265192
87,172,1246,296,0.0033783783783783786
88,181,400,303,0.0033003300330033004
89,181,408,548,0.0018248175182481751
90,181,595,57,0.017543859649122806
91,181,626,223,0.004484304932735426
