id,x,y,cpu,memory,storage,bandwidth,cluster
6,-37.814484104477614,144.97113470149253,2880,4942,1044,913,6
22,-37.814225,144.971971,1200,1024,300,150,6
26,-37.813822,144.969482,500,200,170,80,6
27,-37.814922,144.970588,700,300,220,90,6
31,-37.813529,144.970797,700,300,220,90,6
32,-37.814288,144.972991,150,300,220,90,6
44,-37.813789,144.972834,1000,500,270,100,6
50,-37.815471,144.973697,50,100,80,20,6
64,-37.815309,144.969476,150,300,220,90,6
80,-37.813908,144.969253,100,200,170,80,6
106,-37.813545,144.971705,1000,500,270,100,6
111,-37.814265,144.971685,1000,1024,300,150,6
141,-37.815375,144.971246,700,300,220,90,6
142,-37.814343,144.970979,500,200,170,80,6
143,-37.813477,144.973013,150,300,220,90,6
150,-37.814538,144.971848,100,200,170,80,6
154,-37.813679,144.971645,900,500,270,100,6
159,-37.815748,144.968805,1000,500,270,100,6
165,-37.812122,144.97071,700,300,220,90,6
167,-37.814263,144.972105,150,300,220,90,6
170,-37.815943,144.972798,250,1024,300,150,6
172,-37.814896,144.971668,150,300,220,90,6
181,-37.813463,144.973217,75,150,120,50,6
201,-37.816011,144.972058,500,200,170,80,6
209,-37.815777,144.970508,1000,500,270,100,6
227,-37.813052,144.969243,1000,500,270,100,6
270,-37.815994,144.97266,50,100,80,20,6
282,-37.814808,144.971784,50,100,80,20,6
287,-37.814765,144.969286,1000,500,270,100,6
288,-37.812088,144.970836,1200,1024,300,150,6
324,-37.81354,144.971421,50,100,80,20,6
336,-37.814216,144.974071,1000,1024,300,150,6
344,-37.815387,144.968815,1000,500,270,100,6
345,-37.814195,144.972823,50,100,80,20,6
362,-37.813282,144.973711,700,300,220,90,6
395,-37.816674,144.970256,700,300,220,90,6
396,-37.815426,144.971086,700,300,220,90,6
399,-37.814747,144.97349,50,100,80,20,6
400,-37.813517,144.973633,50,100,80,20,6
408,-37.813573,144.973404,1000,1024,300,150,6
419,-37.81565,144.973579,1000,1024,300,150,6
423,-37.813515,144.970002,100,200,170,80,6
424,-37.812752,144.972748,1000,500,270,100,6
430,-37.815371,144.973076,50,100,80,20,6
448,-37.813498,144.969003,1000,500,270,100,6
469,-37.816217,144.970928,500,200,170,80,6
473,-37.812727,144.97038,50,100,80,20,6
483,-37.815417,144.970496,1200,1024,300,150,6
489,-37.81245,144.96985,1000,500,270,100,6
491,-37.816544,144.970033,75,150,120,50,6
496,-37.814607,144.97012,50,100,80,20,6
515,-37.813056,144.969447,1200,1024,300,150,6
518,-37.81338,144.969438,200,500,270,100,6
536,-37.813947,144.97294,200,500,270,100,6
538,-37.812777,144.96971,150,300,220,90,6
542,-37.813502,144.969208,700,200,170,80,6
578,-37.81284,144.972633,250,1024,300,150,6
581,-37.815011,144.971529,150,300,220,90,6
587,-37.815936,144.971867,900,500,270,100,6
593,-37.815217,144.973546,1000,1024,300,150,6
595,-37.813115,144.97342,1000,1024,300,150,6
605,-37.814701,144.968209,1000,1024,300,150,6
607,-37.817919,144.971381,100,200,170,80,6
610,-37.816186,144.971213,1200,1024,300,150,6
622,-37.815578,144.969718,100,200,170,80,6
626,-37.81379,144.973346,75,150,120,50,6
650,-37.812581,144.973265,1000,500,270,100,6
657,-37.816144,144.970317,150,300,220,90,6
668,-37.812807,144.969159,1000,1024,300,150,6
692,-37.812893,144.97117,50,100,80,20,6
699,-37.814533,144.968545,75,150,120,50,6
700,-37.813106,144.969764,1000,1024,300,150,6
703,-37.815732,144.971004,50,100,80,20,6
705,-37.814327,144.974026,700,200,170,80,6
710,-37.818896,144.971037,1000,1024,300,150,6
714,-37.812779,144.970148,200,500,270,100,6
715,-37.814464,144.97344,900,500,270,100,6
739,-37.814924,144.969422,200,500,270,100,6
741,-37.814712,144.974322,100,200,170,80,6
742,-37.816491,144.969434,200,500,270,100,6
745,-37.815533,144.971107,900,500,270,100,6
763,-37.81674,144.97009,1200,1024,300,150,6
765,-37.81239,144.9712,1000,500,270,100,6
769,-37.81218,144.9711,75,150,120,50,6
786,-37.813882,144.970903,50,100,80,20,6
801,-37.815401,144.971734,75,150,120,50,6
833,-37.816163,144.969236,100,200,170,80,6
838,-37.812117,144.972116,700,200,170,80,6
842,-37.815276,144.968854,100,200,170,80,6
854,-37.814261,144.97038,1000,1024,300,150,6
855,-37.815076,144.972081,50,100,80,20,6
869,-37.813833,144.97189,1000,500,270,100,6
878,-37.815981,144.969398,1000,500,270,100,6
879,-37.813692,144.968349,900,300,220,90,6
885,-37.813755,144.97402,500,200,170,80,6
913,-37.814,144.9704,700,300,220,90,6
914,-37.81427,144.968,50,100,80,20,6
919,-37.8151,144.9686,500,200,170,80,6
932,-37.815434,144.971408,50,100,80,20,6
937,-37.812678,144.972492,50,100,80,20,6
938,-37.81455,144.97338,100,200,170,80,6
953,-37.814421,144.970551,900,500,270,100,6
960,-37.813853,144.972465,1000,1024,300,150,6
971,-37.815287,144.968694,250,1024,300,150,6
978,-37.81385,144.9716,250,1024,300,150,6
979,-37.8139,144.97163,1000,500,270,100,6
1022,-37.814481,144.971,1200,1024,300,150,6
1029,-37.81352,144.96951,250,1024,300,150,6
1036,-37.817912,144.971121,500,200,170,80,6
1052,-37.813447,144.969798,700,200,170,80,6
1060,-37.815,144.9689,900,300,220,90,6
1068,-37.81466,144.97027,100,200,170,80,6
1090,-37.814003,144.972938,200,500,270,100,6
1127,-37.81465,144.96883,1000,500,270,100,6
1147,-37.8134,144.9704,900,300,220,90,6
1160,-37.81365,144.97361,200,500,270,100,6
1163,-37.8133,144.9686,500,200,170,80,6
1175,-37.81491,144.96942,250,1024,300,150,6
1182,-37.815414,144.970442,1000,1024,300,150,6
1186,-37.814679,144.974472,75,150,120,50,6
1187,-37.81583,144.972496,150,300,220,90,6
1206,-37.813429,144.970737,1000,1024,300,150,6
1219,-37.81626,144.97287,200,500,270,100,6
1229,-37.813324,144.97028,250,1024,300,150,6
1246,-37.815254,144.971367,900,300,220,90,6
1254,-37.816217,144.970803,50,100,80,20,6
1288,-37.813759,144.968277,1000,1024,300,150,6
1299,-37.81417,144.9683,900,500,270,100,6
1301,-37.8154,144.968949,1200,1024,300,150,6
1316,-37.813479,144.970661,50,100,80,20,6
1326,-37.815377,144.973453,150,300,220,90,6
1333,-37.813137,144.970889,1200,1024,300,150,6
1337,-37.815545,144.973304,200,500,270,100,6
1338,-37.815355,144.973183,1000,1024,300,150,6
1343,-37.815621,144.971021,250,1024,300,150,6
