App0,"([], 0.006246805191040039)"
App1,"([], 0.0063130855560302734)"
App2,"([], 0.023309946060180664)"
App3,"([], 0.007887840270996094)"
App4,"([], 0.008236885070800781)"
App5,"([], 0.012323856353759766)"
App6,"([], 0.010352134704589844)"
App7,"([], 0.007771968841552734)"
App8,"([], 0.009103059768676758)"
App9,"([], 0.010750055313110352)"
App10,"([], 0.008392095565795898)"
App11,"([[0, 43], [1, 31], [2, 37], [3, 26], [4, 17], [5, 28]], 0.013185977935791016)"
App12,"([], 0.006020069122314453)"
App13,"([], 0.010992050170898438)"
App14,"([], 0.005897045135498047)"
App15,"([], 0.0072479248046875)"
App16,"([], 0.009012222290039062)"
App17,"([], 0.007645130157470703)"
App18,"([], 0.0060710906982421875)"
App19,"([], 0.014750003814697266)"
