Application,MinNodes,MeanNodes,MeanTime,BestAllocations
App0,16,18.44,0.0005441141128540039,"[(0, 16), (1, 9), (2, 9), (3, 9), (4, 23), (5, 24), (6, 45), (7, 47), (8, 30), (9, 17), (10, 26), (11, 26), (12, 1), (13, 13), (14, 13), (15, 13), (16, 8), (17, 8), (18, 11), (19, 11), (20, 20), (21, 27), (22, 43), (23, 43), (24, 22)]"
App1,15,17.42,0.0005254316329956055,"[(0, 17), (1, 17), (2, 24), (3, 24), (4, 24), (5, 23), (6, 9), (7, 9), (8, 9), (9, 19), (10, 19), (11, 16), (12, 18), (13, 49), (14, 1), (15, 47), (16, 45), (17, 24), (18, 13), (19, 13), (20, 8), (21, 8), (22, 8), (23, 11), (24, 11), (25, 3), (26, 3), (27, 20)]"
App2,18,18.9,0.000545053482055664,"[(0, 14), (1, 10), (2, 35), (3, 35), (4, 22), (5, 5), (6, 21), (7, 27), (8, 27), (9, 43), (10, 20), (11, 11), (12, 3), (13, 3), (14, 11), (15, 8), (16, 13), (17, 24), (18, 17), (19, 26), (20, 1), (21, 47), (22, 47), (23, 45)]"
App3,17,19.01,0.0005580210685729981,"[(0, 9), (1, 9), (2, 19), (3, 16), (4, 28), (5, 23), (6, 24), (7, 24), (8, 17), (9, 26), (10, 1), (11, 47), (12, 47), (13, 45), (14, 13), (15, 13), (16, 13), (17, 13), (18, 8), (19, 8), (20, 11), (21, 11), (22, 3), (23, 20), (24, 43), (25, 43)]"
App4,3,4.66,0.00020628929138183594,"[(0, 13), (1, 13), (2, 13), (3, 13), (4, 8), (5, 8), (6, 11)]"
App5,18,19.75,0.0005959463119506836,"[(0, 29), (1, 29), (2, 12), (3, 14), (4, 14), (5, 35), (6, 10), (7, 44), (8, 19), (9, 5), (10, 21), (11, 22), (12, 21), (13, 22), (14, 4), (15, 5), (16, 3), (17, 11), (18, 11), (19, 8), (20, 8), (21, 13), (22, 13), (23, 25), (24, 1), (25, 47)]"
App6,5,5.71,0.00024227380752563476,"[(0, 20), (1, 11), (2, 11), (3, 8), (4, 8), (5, 13), (6, 13), (7, 31)]"
App7,13,14.38,0.00043572187423706054,"[(0, 7), (1, 22), (2, 4), (3, 5), (4, 21), (5, 27), (6, 20), (7, 20), (8, 43), (9, 3), (10, 11), (11, 11), (12, 8), (13, 13), (14, 13), (15, 49), (16, 1), (17, 47)]"
App8,12,15.35,0.00047908782958984376,"[(0, 47), (1, 1), (2, 49), (3, 13), (4, 13), (5, 13), (6, 13), (7, 8), (8, 8), (9, 2), (10, 11), (11, 3), (12, 20), (13, 22), (14, 5), (15, 19), (16, 19), (17, 9), (18, 9), (19, 23), (20, 24)]"
App9,14,16.52,0.0005093550682067871,"[(0, 29), (1, 28), (2, 9), (3, 9), (4, 23), (5, 24), (6, 17), (7, 47), (8, 1), (9, 13), (10, 13), (11, 8), (12, 8), (13, 11), (14, 11), (15, 11), (16, 3), (17, 20), (18, 3), (19, 31), (20, 2), (21, 37), (22, 37)]"
App10,16,16.89,0.0005293345451354981,"[(0, 26), (1, 30), (2, 17), (3, 24), (4, 42), (5, 23), (6, 9), (7, 9), (8, 19), (9, 19), (10, 44), (11, 22), (12, 5), (13, 21), (14, 21), (15, 5), (16, 13), (17, 13), (18, 8), (19, 8), (20, 2), (21, 37), (22, 37)]"
App11,3,4.66,0.00020415544509887694,"[(0, 13), (1, 13), (2, 13), (3, 8), (4, 11), (5, 11)]"
App12,10,11.2,0.00038071632385253904,"[(0, 14), (1, 10), (2, 35), (3, 10), (4, 35), (5, 5), (6, 5), (7, 21), (8, 27), (9, 43), (10, 11), (11, 11), (12, 8), (13, 8), (14, 13)]"
App13,15,16.26,0.0005413126945495605,"[(0, 11), (1, 3), (2, 11), (3, 8), (4, 8), (5, 13), (6, 13), (7, 1), (8, 1), (9, 1), (10, 47), (11, 47), (12, 45), (13, 24), (14, 17), (15, 23), (16, 9), (17, 9), (18, 42), (19, 28), (20, 16), (21, 19)]"
App14,12,20.5,0.0006530237197875977,"[(0, 19), (1, 16), (2, 9), (3, 9), (4, 9), (5, 9), (6, 24), (7, 17), (8, 23), (9, 29), (10, 22), (11, 5), (12, 13), (13, 13), (14, 13), (15, 8), (16, 11), (17, 35), (18, 5), (19, 21), (20, 27), (21, 43), (22, 43), (23, 3), (24, 20), (25, 37), (26, 45), (27, 47), (28, 47)]"
App15,10,11.39,0.00037711143493652344,"[(0, 4), (1, 5), (2, 21), (3, 22), (4, 22), (5, 7), (6, 27), (7, 43), (8, 3), (9, 11), (10, 8), (11, 8), (12, 11), (13, 13), (14, 13)]"
App16,10,12.94,0.0003924822807312012,"[(0, 13), (1, 13), (2, 13), (3, 8), (4, 11), (5, 3), (6, 20), (7, 43), (8, 21), (9, 22), (10, 39), (11, 22), (12, 4), (13, 5), (14, 5), (15, 10)]"
