Application,MinNodes,MeanNodes,StdNodes,MeanTime,BestAllocations
App0,3,3.0,0.0,0.00032333850860595705,"[[1, 31], [2, 31], [3, 6], [0, 73]]"
App1,4,4.19,0.3923009049186606,0.00036224365234375,"[[1, 31], [2, 31], [4, 6], [6, 6], [3, 6], [7, 73], [5, 73], [0, 71]]"
App2,9,9.91,0.28618176042508375,0.0004199099540710449,"[[3, 31], [1, 31], [6, 6], [5, 6], [10, 73], [4, 73], [9, 20], [11, 65], [2, 54], [7, 91], [0, 86], [8, 64]]"
App3,13,13.8,0.6324555320336759,0.0005592012405395508,"[[7, 31], [14, 6], [12, 6], [1, 73], [6, 73], [15, 71], [13, 3], [0, 20], [10, 20], [5, 65], [11, 54], [4, 67], [3, 59], [8, 91], [9, 55], [2, 86]]"
App4,13,13.62,0.5793099343184096,0.0005495357513427735,"[[7, 31], [11, 31], [15, 31], [6, 6], [13, 6], [18, 6], [5, 73], [17, 73], [19, 71], [9, 3], [10, 3], [0, 20], [4, 65], [16, 54], [3, 67], [2, 59], [1, 91], [12, 55], [14, 86], [8, 86]]"
App5,16,17.47,0.6701492371106602,0.0006615805625915527,"[[20, 31], [15, 31], [19, 31], [23, 6], [2, 6], [22, 73], [10, 73], [0, 73], [5, 71], [8, 3], [14, 3], [21, 20], [12, 20], [4, 65], [17, 54], [1, 67], [13, 59], [9, 91], [18, 55], [3, 86], [6, 86], [11, 34], [16, 64], [7, 7]]"
App6,22,23.15,0.6689544080129826,0.0007466959953308105,"[[20, 31], [23, 31], [5, 6], [19, 6], [13, 73], [7, 73], [17, 71], [22, 3], [21, 3], [26, 20], [16, 20], [3, 65], [18, 54], [24, 67], [6, 59], [14, 91], [4, 55], [8, 86], [27, 75], [9, 34], [15, 64], [2, 7], [12, 40], [25, 2], [0, 2], [10, 53], [1, 48], [11, 50]]"
App7,22,23.65,0.7794228634059948,0.0007818293571472168,"[[8, 31], [12, 31], [7, 6], [24, 6], [26, 6], [20, 73], [25, 73], [15, 73], [10, 71], [1, 3], [29, 3], [23, 20], [6, 20], [19, 65], [5, 54], [9, 67], [14, 59], [18, 91], [28, 55], [22, 86], [16, 75], [0, 34], [21, 64], [17, 64], [13, 7], [30, 40], [2, 2], [4, 2], [3, 53], [11, 9], [27, 9], [31, 27]]"
App8,25,26.87,0.7301369734508724,0.0009002876281738281,"[[34, 31], [19, 31], [33, 31], [12, 31], [30, 31], [14, 6], [0, 6], [17, 6], [6, 73], [5, 73], [4, 71], [18, 71], [32, 3], [15, 3], [24, 20], [3, 20], [25, 65], [21, 54], [26, 67], [2, 59], [7, 91], [35, 55], [1, 86], [10, 75], [11, 34], [22, 64], [23, 7], [16, 40], [9, 2], [13, 2], [28, 53], [29, 9], [31, 48], [20, 50], [8, 97], [27, 41]]"
App9,25,26.74,0.8674099376880575,0.0010303068161010742,"[[12, 31], [10, 31], [38, 31], [23, 6], [1, 6], [28, 73], [29, 73], [24, 71], [17, 71], [16, 3], [20, 3], [26, 82], [33, 20], [0, 20], [37, 65], [2, 47], [15, 54], [19, 67], [21, 59], [6, 59], [11, 91], [7, 91], [13, 55], [35, 86], [9, 86], [14, 75], [31, 75], [5, 75], [39, 34], [4, 34], [22, 64], [36, 7], [34, 40], [25, 2], [18, 2], [27, 53], [8, 9], [3, 9], [32, 48], [30, 50]]"
App10,29,32.61,1.2561448961007642,0.0013541412353515626,"[[27, 31], [15, 31], [16, 31], [8, 6], [7, 6], [32, 73], [4, 73], [21, 71], [41, 3], [24, 3], [26, 82], [37, 82], [22, 20], [23, 20], [13, 65], [11, 47], [33, 54], [14, 67], [28, 59], [43, 59], [36, 91], [39, 55], [18, 86], [1, 75], [6, 34], [20, 64], [35, 7], [38, 40], [5, 2], [17, 2], [40, 53], [9, 9], [3, 9], [2, 27], [30, 48], [19, 50], [42, 97], [10, 41], [34, 66]]"
App11,27,30.03,0.9429209935090002,0.0011762237548828124,"[[24, 31], [35, 31], [34, 31], [13, 6], [36, 6], [28, 73], [23, 73], [16, 73], [30, 71], [21, 3], [2, 3], [42, 82], [9, 20], [31, 20], [6, 20], [18, 65], [32, 65], [10, 54], [46, 67], [45, 67], [38, 59], [43, 59], [29, 91], [11, 55], [41, 86], [12, 86], [7, 75], [17, 75], [20, 34], [37, 64], [8, 64], [39, 7], [14, 7], [1, 40], [19, 40], [0, 2], [26, 2], [3, 53], [44, 53], [33, 9], [15, 9], [27, 27], [25, 68], [4, 68], [40, 70], [22, 81], [5, 48], [47, 48]]"
App12,33,36.42,1.3869390758068645,0.0014922571182250976,"[[12, 31], [0, 31], [31, 6], [40, 6], [10, 73], [42, 73], [9, 71], [7, 71], [20, 3], [27, 3], [50, 82], [39, 82], [18, 20], [51, 20], [3, 65], [44, 47], [26, 54], [30, 67], [2, 59], [6, 59], [36, 59], [16, 91], [19, 91], [48, 55], [32, 86], [43, 86], [29, 75], [38, 75], [24, 34], [21, 34], [25, 64], [46, 7], [37, 40], [23, 2], [13, 2], [22, 53], [47, 9], [45, 9], [17, 27], [28, 68], [41, 68], [5, 48], [8, 87], [11, 50], [35, 97], [33, 12], [4, 41], [34, 66], [49, 61]]"
App13,40,42.02,0.9693296652842107,0.0016993093490600586,"[[30, 31], [46, 31], [44, 31], [10, 6], [45, 6], [21, 73], [22, 73], [36, 71], [53, 71], [54, 3], [9, 3], [33, 82], [48, 20], [16, 20], [12, 65], [6, 54], [11, 67], [20, 59], [7, 59], [1, 91], [49, 55], [15, 86], [39, 86], [2, 75], [5, 34], [26, 64], [52, 64], [47, 7], [27, 40], [29, 2], [23, 2], [28, 53], [25, 9], [50, 9], [35, 27], [42, 68], [8, 68], [18, 70], [24, 81], [0, 48], [32, 87], [55, 87], [51, 50], [13, 97], [37, 12], [4, 12], [40, 36], [17, 41], [3, 25], [38, 90], [41, 78], [14, 76], [19, 22], [43, 98], [31, 72], [34, 72]]"
App14,39,44.26,1.453409783921933,0.0017248773574829101,"[[0, 31], [24, 31], [49, 6], [1, 6], [51, 73], [17, 73], [13, 71], [34, 3], [55, 3], [6, 82], [15, 20], [38, 20], [19, 65], [41, 47], [31, 54], [5, 67], [33, 59], [57, 59], [40, 59], [44, 91], [26, 91], [47, 55], [12, 86], [20, 86], [30, 75], [25, 75], [27, 34], [9, 64], [10, 7], [22, 40], [3, 40], [14, 2], [56, 2], [45, 2], [59, 53], [46, 53], [29, 9], [23, 9], [36, 27], [11, 68], [39, 68], [48, 70], [58, 81], [7, 48], [37, 87], [2, 87], [52, 50], [50, 97], [53, 12], [54, 41], [18, 25], [43, 66], [4, 61], [8, 5], [28, 77], [21, 43]]"
App15,42,43.83,0.9492628719169417,0.0016937756538391113,"[[4, 31], [1, 31], [44, 31], [34, 6], [41, 6], [46, 6], [21, 73], [63, 73], [39, 73], [9, 71], [58, 71], [47, 3], [11, 3], [32, 82], [33, 82], [10, 20], [52, 20], [51, 65], [37, 47], [29, 54], [16, 67], [50, 59], [23, 59], [24, 59], [6, 91], [40, 91], [14, 55], [53, 86], [42, 86], [18, 75], [0, 34], [61, 34], [57, 64], [55, 7], [13, 40], [38, 2], [54, 2], [20, 53], [26, 53], [25, 9], [3, 9], [2, 27], [35, 68], [22, 68], [60, 70], [19, 70], [17, 81], [5, 48], [36, 87], [12, 87], [62, 50], [7, 17], [31, 96], [27, 97], [56, 12], [49, 12], [45, 36], [59, 41], [28, 25], [48, 90], [43, 78], [15, 76], [30, 98], [8, 72]]"
App16,47,49.77,0.9884836872705588,0.0019753289222717283,"[[6, 31], [60, 31], [43, 6], [36, 6], [58, 73], [12, 73], [40, 73], [46, 71], [26, 71], [27, 3], [4, 3], [44, 82], [54, 82], [9, 20], [57, 20], [13, 65], [25, 47], [59, 54], [16, 67], [24, 59], [51, 59], [48, 91], [33, 91], [41, 55], [62, 86], [15, 86], [5, 75], [52, 75], [47, 34], [18, 64], [55, 7], [63, 40], [56, 2], [34, 2], [2, 53], [8, 9], [1, 9], [67, 27], [64, 68], [7, 68], [11, 70], [14, 81], [50, 48], [3, 87], [29, 87], [66, 50], [21, 17], [31, 96], [0, 97], [65, 97], [61, 12], [28, 12], [10, 36], [22, 41], [35, 25], [17, 90], [53, 78], [39, 76], [42, 22], [38, 98], [32, 98], [19, 72], [45, 72], [30, 66], [37, 66], [49, 1], [20, 61], [23, 80]]"
App17,44,47.09,1.4077997016621364,0.0020723652839660643,"[[28, 31], [39, 31], [24, 31], [22, 6], [30, 6], [66, 73], [12, 73], [26, 71], [19, 71], [71, 3], [52, 3], [4, 3], [69, 82], [44, 82], [36, 20], [21, 20], [40, 20], [6, 65], [33, 47], [0, 54], [49, 67], [31, 59], [42, 59], [15, 91], [32, 91], [64, 55], [10, 86], [61, 86], [7, 75], [37, 75], [23, 75], [46, 75], [11, 34], [58, 34], [57, 64], [43, 7], [47, 40], [70, 2], [3, 2], [41, 53], [9, 53], [18, 9], [63, 9], [25, 27], [5, 68], [35, 70], [48, 81], [2, 48], [29, 87], [65, 87], [45, 50], [60, 17], [54, 96], [62, 97], [34, 97], [55, 12], [1, 12], [16, 41], [67, 25], [13, 90], [51, 78], [17, 76], [50, 22], [56, 98], [27, 72], [53, 66], [14, 1]]"
App18,47,51.2,1.8439088914585775,0.0024903225898742676,"[[50, 31], [73, 31], [41, 6], [55, 6], [18, 6], [62, 73], [38, 73], [66, 73], [74, 71], [51, 3], [31, 3], [64, 82], [59, 82], [69, 20], [60, 20], [37, 20], [47, 65], [4, 47], [14, 54], [23, 67], [19, 59], [3, 59], [70, 59], [35, 91], [11, 55], [33, 86], [29, 86], [0, 75], [13, 75], [75, 34], [26, 64], [68, 7], [1, 7], [36, 40], [5, 2], [44, 53], [45, 53], [22, 9], [27, 27], [43, 68], [10, 70], [46, 81], [40, 48], [17, 87], [28, 87], [16, 50], [72, 17], [53, 96], [20, 97], [24, 97], [7, 12], [54, 12], [6, 36], [67, 41], [63, 25], [34, 90], [71, 78], [32, 76], [25, 76], [12, 22], [56, 98], [39, 32], [21, 72], [61, 72], [65, 66], [49, 66], [9, 1], [15, 61]]"
App19,50,54.21,1.6928969253915018,0.0026545143127441407,"[[29, 31], [26, 31], [31, 6], [65, 6], [77, 6], [27, 73], [79, 73], [47, 71], [67, 3], [7, 3], [51, 82], [18, 20], [54, 20], [0, 20], [61, 65], [33, 47], [57, 54], [16, 67], [14, 59], [25, 59], [15, 59], [3, 91], [44, 91], [71, 55], [19, 86], [40, 86], [4, 75], [60, 75], [12, 75], [32, 34], [75, 64], [70, 64], [43, 7], [78, 7], [46, 40], [52, 40], [48, 2], [74, 53], [1, 9], [45, 9], [41, 27], [22, 68], [17, 70], [21, 81], [63, 48], [53, 87], [73, 87], [58, 50], [76, 17], [34, 96], [55, 97], [49, 12], [24, 12], [72, 36], [8, 41], [10, 25], [23, 90], [30, 78], [36, 78], [5, 76], [37, 76], [28, 22], [69, 98], [42, 72], [38, 66], [35, 66], [68, 1], [9, 61], [11, 80], [50, 5], [20, 4], [39, 29]]"
