Application,MinNodes,MeanNodes,StdNodes,MeanTime,BestAllocations
App0,0.6361501287204734,0.5820830725233168,0.02422364101701944,0.054636874736842096,"[[0, 1], [2, 1], [1, 3], [3, 2], [4, 5], [10, 5], [5, 7], [6, 7], [7, 8], [8, 8], [24, 8], [9, 9], [12, 9], [14, 9], [11, 11], [20, 11], [13, 13], [16, 13], [15, 10], [17, 12], [18, 17], [21, 17], [22, 17], [19, 14], [23, 19]]"
App1,0.7068965517241379,0.5817583377508287,0.04331215247824702,0.037789170769230766,"[[0, 1], [4, 1], [17, 1], [1, 7], [3, 7], [2, 5], [8, 5], [20, 5], [5, 2], [7, 2], [6, 3], [18, 3], [21, 3], [9, 8], [11, 8], [25, 8], [10, 9], [12, 9], [13, 9], [15, 9], [14, 11], [19, 11], [16, 10], [23, 10], [22, 13], [24, 13], [26, 14], [27, 14]]"
App2,0.6111538133060039,0.5712602557404605,0.025044213222313084,0.033664713478260874,"[[0, 8], [7, 8], [9, 8], [1, 1], [5, 1], [2, 2], [3, 7], [4, 3], [12, 3], [6, 9], [8, 9], [10, 9], [11, 5], [15, 5], [13, 11], [17, 11], [14, 13], [20, 13], [16, 17], [18, 10], [19, 21], [21, 12], [22, 14], [23, 15]]"
App3,0.6202508128193219,0.5517111137216938,0.031941258070052436,0.05796519,"[[0, 1], [1, 1], [19, 1], [2, 2], [4, 2], [3, 3], [24, 3], [5, 5], [8, 5], [12, 5], [6, 7], [7, 8], [13, 8], [9, 9], [10, 9], [11, 9], [14, 11], [16, 11], [15, 13], [17, 13], [18, 14], [20, 14], [21, 17], [22, 19], [25, 19], [23, 20]]"
App4,0.6454479506710192,0.5159532220905225,0.05459500676645251,0.02159655076923077,"[[0, 8], [1, 8], [3, 8], [6, 8], [2, 9], [4, 9], [5, 3]]"
App5,0.6113996657784201,0.5565302297552548,0.02633510707829157,0.061995052564102565,"[[0, 1], [16, 1], [1, 7], [15, 7], [2, 5], [10, 5], [3, 8], [17, 8], [4, 2], [5, 3], [25, 3], [6, 9], [7, 9], [8, 9], [9, 11], [18, 11], [11, 13], [12, 13], [21, 13], [13, 10], [14, 14], [19, 12], [23, 12], [20, 17], [22, 19], [24, 19]]"
App6,0.7037321063394683,0.5941123322641616,0.04412632868641481,0.024309856428571426,"[[0, 8], [7, 8], [1, 1], [2, 9], [3, 9], [4, 9], [5, 11], [6, 11]]"
App7,0.6240690168818273,0.5684346589415804,0.034208314926629554,0.04165896205882353,"[[0, 3], [7, 3], [1, 1], [3, 1], [2, 5], [17, 5], [4, 7], [5, 8], [10, 8], [6, 9], [8, 9], [12, 9], [9, 2], [11, 10], [13, 11], [14, 11], [15, 11], [16, 13]]"
App8,0.7053671682012127,0.6340743067832657,0.03647349511745325,0.03350888807692308,"[[0, 1], [7, 1], [1, 3], [9, 3], [2, 2], [3, 8], [12, 8], [14, 8], [4, 7], [5, 9], [6, 9], [8, 4], [10, 5], [15, 5], [18, 5], [11, 11], [16, 11], [13, 10], [17, 12], [19, 13], [20, 13]]"
App9,0.628111132548717,0.5649064424564855,0.02805099361777062,0.03743397703703704,"[[0, 1], [8, 1], [1, 3], [2, 2], [3, 4], [4, 5], [15, 5], [5, 7], [12, 7], [13, 7], [6, 8], [20, 8], [7, 9], [16, 9], [9, 11], [19, 11], [21, 11], [10, 13], [14, 13], [11, 17], [17, 12], [18, 19], [22, 6]]"
App10,0.6787475985253648,0.5908532395140916,0.03410962212433578,0.07150112433962265,"[[0, 1], [5, 1], [10, 1], [1, 8], [6, 8], [2, 7], [22, 7], [3, 9], [4, 9], [9, 9], [7, 2], [8, 3], [11, 3], [12, 11], [20, 11], [13, 5], [14, 5], [15, 13], [16, 13], [17, 17], [19, 17], [18, 14], [21, 16]]"
App11,0.5802120141342756,0.4957297008570316,0.05417405104630339,0.031803608750000004,"[[0, 1], [1, 7], [3, 7], [2, 8], [5, 8], [4, 3]]"
App12,0.7099621689785625,0.5763449228703073,0.055435114681057544,0.027885583461538462,"[[0, 1], [6, 1], [13, 1], [14, 1], [1, 8], [8, 8], [2, 7], [3, 3], [4, 5], [11, 5], [5, 2], [7, 9], [9, 9], [10, 9], [12, 11]]"
App13,0.6355364719112611,0.575650829243965,0.026878072263312555,0.059093935116279084,"[[0, 1], [4, 1], [1, 7], [9, 7], [2, 8], [6, 8], [3, 9], [7, 9], [21, 9], [5, 11], [13, 11], [8, 10], [10, 2], [11, 13], [14, 13], [12, 3], [16, 3], [15, 17], [17, 4], [20, 4], [18, 19], [19, 12]]"
