Application,MinNodes,MeanNodes,MeanTime,BestAllocations
App0,4,4.0,0.00039113,"[[3, 91], [0, 86], [2, 40], [1, 17]]"
App1,8,8.0,0.00076596,"[[1, 40], [7, 20], [4, 17], [6, 70], [0, 14], [2, 16], [3, 92], [5, 86]]"
App2,12,12.0,0.00113083,"[[0, 65], [6, 97], [7, 56], [8, 15], [9, 7], [11, 86], [3, 67], [10, 85], [2, 84], [4, 69], [5, 49], [1, 46]]"
App3,16,16.0,0.0015254,"[[14, 73], [0, 27], [3, 2], [10, 72], [11, 5], [1, 41], [2, 66], [5, 86], [8, 77], [13, 61], [4, 91], [7, 40], [9, 9], [15, 43], [12, 32], [6, 96]]"
App4,20,20.0,0.00188433,"[[0, 20], [2, 67], [4, 25], [5, 6], [7, 40], [9, 61], [12, 32], [14, 97], [1, 87], [6, 92], [16, 27], [8, 66], [3, 18], [19, 84], [17, 79], [10, 93], [13, 13], [11, 36], [15, 5], [18, 80]]"
App5,24,24.0,0.00226843,"[[8, 80], [22, 78], [7, 57], [11, 34], [1, 54], [9, 83], [23, 6], [3, 24], [4, 29], [5, 16], [6, 71], [12, 81], [13, 85], [14, 39], [17, 76], [18, 55], [20, 68], [21, 48], [16, 10], [2, 82], [0, 93], [10, 43], [15, 41], [19, 9]]"
App6,28,28.0,0.00255226,"[[2, 53], [8, 7], [11, 50], [1, 41], [5, 65], [10, 97], [13, 6], [14, 66], [15, 73], [4, 87], [12, 31], [16, 76], [20, 90], [24, 27], [27, 2], [3, 34], [6, 85], [17, 60], [18, 57], [25, 45], [9, 14], [22, 88], [26, 63], [0, 1], [19, 16], [7, 82], [21, 13], [23, 69]]"
App7,32,32.0,0.00296885,"[[2, 20], [5, 65], [10, 34], [11, 4], [16, 60], [21, 97], [3, 27], [6, 15], [13, 29], [18, 2], [19, 7], [20, 25], [23, 54], [22, 18], [8, 45], [9, 1], [17, 85], [28, 72], [30, 6], [0, 26], [14, 14], [24, 13], [1, 10], [4, 68], [27, 98], [29, 49], [31, 5], [7, 82], [26, 67], [12, 17], [15, 52], [25, 92]]"
App8,36,36.0,0.00326576,"[[1, 48], [6, 41], [7, 53], [8, 64], [20, 65], [22, 20], [23, 57], [25, 66], [27, 45], [28, 86], [31, 5], [2, 2], [10, 31], [16, 90], [21, 98], [24, 25], [26, 54], [29, 9], [3, 67], [35, 81], [11, 71], [0, 88], [4, 10], [15, 17], [9, 16], [14, 12], [13, 24], [32, 36], [5, 58], [34, 76], [12, 47], [17, 59], [18, 38], [19, 68], [30, 78], [33, 28]]"
App9,40,40.0,0.00368089,"[[23, 6], [27, 20], [32, 50], [37, 53], [11, 41], [22, 97], [30, 48], [35, 86], [0, 27], [14, 25], [19, 76], [33, 75], [34, 90], [36, 22], [21, 71], [4, 43], [8, 32], [12, 5], [20, 8], [13, 79], [16, 69], [18, 13], [24, 29], [28, 28], [15, 49], [1, 14], [3, 63], [25, 17], [6, 93], [9, 35], [26, 61], [29, 70], [39, 51], [2, 19], [5, 1], [7, 60], [10, 80], [17, 62], [31, 57], [38, 40]]"
App10,44,44.0,0.00399975,"[[0, 6], [19, 20], [29, 64], [32, 53], [8, 66], [10, 56], [12, 7], [13, 74], [18, 5], [25, 65], [30, 48], [31, 50], [34, 86], [40, 41], [42, 73], [2, 90], [20, 78], [33, 54], [38, 72], [1, 1], [6, 21], [21, 34], [3, 17], [9, 85], [27, 11], [14, 29], [22, 84], [23, 57], [24, 69], [28, 94], [35, 8], [36, 43], [39, 59], [5, 63], [17, 35], [7, 70], [41, 68], [4, 46], [11, 39], [15, 58], [16, 33], [26, 79], [37, 10], [43, 49]]"
App11,48,48.0,0.00444519,"[[27, 11], [44, 48], [38, 28], [2, 60], [13, 50], [18, 24], [29, 66], [5, 72], [33, 69], [3, 37], [8, 3], [9, 8], [21, 15], [31, 75], [41, 81], [47, 87], [20, 13], [39, 9], [0, 49], [1, 35], [7, 90], [10, 6], [11, 61], [14, 99], [15, 34], [25, 57], [26, 20], [28, 52], [30, 63], [36, 98], [40, 21], [42, 82], [37, 29], [22, 38], [24, 85], [43, 79], [46, 43], [4, 39], [12, 46], [17, 65], [19, 51], [45, 64], [6, 19], [16, 62], [23, 45], [32, 77], [34, 25], [35, 83]]"
App12,52,52.0,0.0046965,"[[1, 73], [3, 97], [11, 20], [14, 53], [15, 7], [4, 66], [5, 15], [16, 86], [22, 64], [25, 48], [34, 57], [35, 13], [46, 65], [49, 18], [2, 78], [8, 87], [17, 75], [32, 22], [33, 98], [37, 72], [40, 25], [47, 54], [48, 67], [51, 90], [29, 4], [41, 3], [10, 60], [13, 70], [23, 21], [26, 61], [31, 94], [9, 45], [12, 84], [18, 80], [20, 69], [30, 11], [42, 26], [24, 88], [27, 63], [28, 49], [45, 79], [21, 93], [43, 39], [0, 58], [6, 56], [7, 8], [19, 74], [36, 37], [38, 36], [39, 83], [44, 24], [50, 28]]"
App13,56,56.0,0.00515004,"[[17, 64], [41, 48], [43, 12], [2, 52], [3, 75], [13, 24], [19, 57], [21, 50], [25, 13], [26, 29], [27, 41], [32, 55], [35, 2], [38, 59], [42, 8], [48, 81], [0, 73], [1, 78], [10, 68], [12, 61], [14, 51], [28, 76], [29, 15], [31, 97], [37, 65], [47, 28], [51, 98], [4, 92], [5, 34], [6, 69], [11, 25], [18, 80], [20, 71], [23, 49], [24, 35], [30, 86], [34, 33], [39, 6], [40, 88], [49, 40], [50, 99], [54, 21], [15, 17], [16, 85], [36, 32], [45, 14], [55, 37], [7, 39], [8, 82], [22, 26], [52, 43], [53, 83], [9, 19], [33, 45], [44, 54], [46, 47]]"
App14,60,60.0,0.0054389,"[[4, 64], [7, 65], [8, 66], [9, 91], [10, 48], [16, 20], [19, 74], [21, 8], [28, 51], [32, 53], [35, 86], [42, 7], [43, 43], [49, 57], [50, 73], [52, 13], [54, 83], [5, 55], [15, 59], [18, 72], [29, 98], [30, 76], [31, 40], [36, 31], [44, 54], [47, 75], [13, 36], [48, 34], [27, 85], [39, 81], [56, 32], [58, 4], [0, 16], [11, 52], [22, 80], [33, 33], [34, 17], [37, 11], [38, 79], [51, 56], [53, 1], [59, 29], [2, 35], [12, 3], [14, 70], [1, 38], [20, 96], [23, 88], [46, 24], [55, 68], [3, 93], [6, 58], [17, 46], [45, 39], [24, 62], [25, 47], [26, 90], [40, 28], [41, 49], [57, 37]]"
App15,64,64.0,0.005848,"[[41, 20], [45, 67], [48, 12], [6, 7], [8, 97], [10, 74], [3, 92], [5, 56], [9, 86], [12, 90], [13, 83], [14, 27], [16, 2], [18, 72], [20, 78], [21, 34], [25, 33], [28, 69], [29, 91], [31, 88], [36, 9], [50, 1], [54, 70], [60, 54], [62, 43], [2, 52], [15, 45], [17, 18], [27, 77], [30, 98], [38, 65], [43, 64], [51, 37], [53, 16], [55, 76], [56, 68], [57, 53], [59, 29], [1, 35], [35, 4], [49, 24], [0, 38], [7, 99], [11, 26], [22, 36], [26, 63], [34, 17], [47, 32], [63, 40], [19, 39], [42, 93], [52, 49], [58, 60], [61, 66], [4, 19], [23, 62], [24, 22], [32, 3], [33, 73], [37, 41], [39, 31], [40, 5], [44, 96], [46, 57]]"
App16,68,68.0,0.00615673,"[[2, 76], [5, 59], [10, 75], [11, 21], [16, 72], [21, 96], [47, 81], [49, 55], [56, 43], [62, 77], [65, 25], [67, 71], [3, 28], [6, 24], [13, 15], [18, 87], [19, 8], [20, 97], [23, 2], [35, 48], [39, 12], [41, 67], [48, 27], [50, 51], [53, 78], [57, 22], [58, 40], [59, 80], [61, 64], [63, 6], [64, 29], [66, 5], [22, 45], [55, 13], [8, 9], [9, 94], [17, 36], [28, 70], [30, 68], [32, 69], [34, 10], [38, 56], [42, 88], [43, 20], [46, 32], [0, 63], [14, 49], [24, 14], [37, 35], [45, 16], [1, 26], [4, 84], [27, 33], [29, 37], [31, 38], [36, 74], [7, 93], [26, 46], [51, 39], [52, 58], [12, 82], [15, 17], [25, 47], [33, 85], [40, 7], [44, 41], [54, 53], [60, 98]]"
