Application,MinNodes,MeanNodes,StdNodes,MeanTime,BestAllocations
App0,16,18.37,1.0164152694642088,0.0005169558525085449,"[(0, 33), (1, 9), (2, 9), (3, 9), (4, 23), (5, 24), (6, 45), (7, 47), (8, 30), (9, 17), (10, 26), (11, 26), (12, 1), (13, 13), (14, 13), (15, 13), (16, 8), (17, 8), (18, 11), (19, 11), (20, 20), (21, 27), (22, 43), (23, 43), (24, 22)]"
App1,15,17.29,1.1339753083731585,0.0004906177520751954,"[(0, 9), (1, 9), (2, 9), (3, 9), (4, 9), (5, 23), (6, 24), (7, 17), (8, 17), (9, 26), (10, 26), (11, 34), (12, 1), (13, 47), (14, 13), (15, 13), (16, 8), (17, 11), (18, 11), (19, 3), (20, 3), (21, 20), (22, 20), (23, 43), (24, 27), (25, 21), (26, 21), (27, 22)]"
App2,18,18.91,0.9175510884958941,0.0005115532875061035,"[(0, 44), (1, 10), (2, 14), (3, 12), (4, 28), (5, 23), (6, 9), (7, 9), (8, 16), (9, 9), (10, 19), (11, 13), (12, 13), (13, 13), (14, 8), (15, 11), (16, 8), (17, 3), (18, 20), (19, 43), (20, 27), (21, 15), (22, 7), (23, 22)]"
App3,17,19.03,1.5195723082499235,0.0005247330665588379,"[(0, 9), (1, 9), (2, 19), (3, 16), (4, 28), (5, 23), (6, 24), (7, 24), (8, 17), (9, 26), (10, 1), (11, 47), (12, 47), (13, 45), (14, 13), (15, 13), (16, 13), (17, 13), (18, 8), (19, 8), (20, 11), (21, 11), (22, 3), (23, 20), (24, 43), (25, 43)]"
App4,3,4.78,0.9228217596047461,0.00019829273223876954,"[(0, 13), (1, 13), (2, 13), (3, 13), (4, 8), (5, 8), (6, 11)]"
App5,18,19.77,0.7981854421122951,0.0005570363998413086,"[(0, 29), (1, 29), (2, 12), (3, 14), (4, 14), (5, 35), (6, 10), (7, 44), (8, 19), (9, 5), (10, 21), (11, 22), (12, 21), (13, 22), (14, 4), (15, 5), (16, 3), (17, 11), (18, 11), (19, 8), (20, 8), (21, 13), (22, 13), (23, 25), (24, 1), (25, 47)]"
App6,5,5.88,0.6968500556073739,0.00023683309555053711,"[(0, 43), (1, 20), (2, 3), (3, 11), (4, 11), (5, 8), (6, 13), (7, 13)]"
App7,13,14.58,0.7769169839822013,0.00041257381439208985,"[(0, 7), (1, 22), (2, 4), (3, 5), (4, 21), (5, 27), (6, 20), (7, 20), (8, 43), (9, 3), (10, 11), (11, 11), (12, 8), (13, 13), (14, 13), (15, 49), (16, 1), (17, 47)]"
App8,12,15.46,1.7054031781370647,0.00045535802841186525,"[(0, 47), (1, 1), (2, 49), (3, 13), (4, 13), (5, 13), (6, 13), (7, 8), (8, 8), (9, 2), (10, 11), (11, 3), (12, 20), (13, 22), (14, 5), (15, 19), (16, 19), (17, 9), (18, 9), (19, 23), (20, 24)]"
App9,14,16.61,1.3182943525631898,0.00048290252685546876,"[(0, 32), (1, 31), (2, 11), (3, 11), (4, 8), (5, 13), (6, 1), (7, 47), (8, 45), (9, 24), (10, 17), (11, 17), (12, 23), (13, 23), (14, 9), (15, 9), (16, 9), (17, 9), (18, 16), (19, 19), (20, 19), (21, 44), (22, 4)]"
App10,16,16.89,0.8590110593001701,0.0004916787147521973,"[(0, 26), (1, 30), (2, 17), (3, 24), (4, 42), (5, 23), (6, 9), (7, 9), (8, 19), (9, 19), (10, 44), (11, 22), (12, 5), (13, 21), (14, 21), (15, 5), (16, 13), (17, 13), (18, 8), (19, 8), (20, 2), (21, 37), (22, 37)]"
App11,3,4.61,0.8819863944528851,0.00019356012344360352,"[(0, 13), (1, 13), (2, 13), (3, 8), (4, 11), (5, 11)]"
App12,10,11.19,0.7961783719745219,0.00035019636154174803,"[(0, 14), (1, 10), (2, 35), (3, 10), (4, 35), (5, 5), (6, 5), (7, 21), (8, 27), (9, 43), (10, 11), (11, 11), (12, 8), (13, 8), (14, 13)]"
App13,15,16.08,1.026450193628507,0.00045836925506591796,"[(0, 11), (1, 3), (2, 11), (3, 8), (4, 8), (5, 13), (6, 13), (7, 1), (8, 1), (9, 1), (10, 47), (11, 47), (12, 45), (13, 24), (14, 17), (15, 23), (16, 9), (17, 9), (18, 42), (19, 28), (20, 16), (21, 19)]"
App14,12,19.76,3.4644480079804922,0.0005862283706665039,"[(0, 19), (1, 16), (2, 9), (3, 9), (4, 9), (5, 9), (6, 24), (7, 17), (8, 23), (9, 29), (10, 22), (11, 5), (12, 13), (13, 13), (14, 13), (15, 8), (16, 11), (17, 35), (18, 5), (19, 21), (20, 27), (21, 43), (22, 43), (23, 3), (24, 20), (25, 37), (26, 45), (27, 47), (28, 47)]"
App15,10,11.22,0.8435638683585255,0.0003490495681762695,"[(0, 4), (1, 5), (2, 21), (3, 22), (4, 22), (5, 7), (6, 27), (7, 43), (8, 3), (9, 11), (10, 8), (11, 8), (12, 11), (13, 13), (14, 13)]"
App16,10,12.76,1.3425349157470727,0.00037057161331176757,"[(0, 13), (1, 13), (2, 13), (3, 8), (4, 11), (5, 3), (6, 20), (7, 43), (8, 21), (9, 22), (10, 39), (11, 22), (12, 4), (13, 5), (14, 5), (15, 10)]"
App17,13,16.33,0.9171150418568,0.00045186758041381836,"[(0, 7), (1, 15), (2, 27), (3, 20), (4, 3), (5, 11), (6, 11), (7, 11), (8, 8), (9, 13), (10, 13), (11, 13), (12, 37), (13, 1), (14, 47), (15, 47), (16, 45), (17, 24), (18, 17), (19, 23), (20, 9), (21, 9), (22, 9)]"
App18,9,12.53,1.6398475538903,0.00037171125411987303,"[(0, 13), (1, 13), (2, 13), (3, 8), (4, 8), (5, 11), (6, 3), (7, 20), (8, 20), (9, 11), (10, 3), (11, 43), (12, 43), (13, 27), (14, 21), (15, 21), (16, 5)]"
App19,8,10.19,0.8566796367370945,0.0003190159797668457,"[(0, 49), (1, 13), (2, 13), (3, 8), (4, 11), (5, 3), (6, 20), (7, 43), (8, 43), (9, 21), (10, 22), (11, 7)]"
